,SITUATION,EMOTION
5527,"My mom told me not to gamble, but I did anyway. Sometimes I would even take some money from my parents and brother. She found out and yelled at me.",GUILT
5528,Finished a difficult midterm.,JOY
5529,I confronted a bigger person than I and almost got into a fight.,FEAR
5530,I was called racial slurs behind my back.,ANGER
5531,My grandmother died during Christmas break several years ago.,SADNESS
5532,Saw a scene in a movie implying incest as humorous.,DISGUST
5533,"When given responsibility to grade papers in elementary school, I cheated a little and graded my own higher.",SHAME
5534,When I was a kid I stole toys from other kids.,GUILT
5535,"Did very, very well on a Physics midterm.",JOY
5536,Alone in the house (late 8pm) I heard noises. Sounded like someone was trying to get in our back door.,FEAR
5537,A friend doesn't let me study when I want to. She doesn't feel I need to study and doesn't understand how important studying is to me. I get very angry with her.,ANGER
5538,Death of a pet rabbit. We had to give it away because my brother became allergic to it. We gave it to a man who kept animals and lots of other animals for children to watch. We went to visit our rabbit. It was badly beaten by the other rabbits and eventually died.,SADNESS
5539,When I stand at the bus stop for one hour waiting for the bus to arrive.,DISGUST
5540,"When I sat in the wrong discussion section in the beginning of the semester. I insisted on being in the right section and the TA's list should have included my name. When I found out that I was in the wrong, I apologized, turned red and left.",SHAME
5541,About not helping my sister when she asked me to help her on her chemistry class. I pretended to be busy.,GUILT
5542,When I won my car. ,JOY
5543,Going to take my driving test.,FEAR
5544,I came home one day and discovered that my sister had borrowed my car and had gotten into an accident with it. My entire front bumper was destroyed.,ANGER
5545,When I heard the news that my grandfather had died.,SADNESS
5546,When a friend of mine keeps telling me morbid things that happened to his dog.,DISGUST
5547,When I purposely locked my babysitter out of the house at age 4 because I DIDN'T LIKE HER.,SHAME
5548,When I did not go to work because I had to study for a midterm.,GUILT
5549,"At a party in which I met an interesting female. We enjoyed eachothers company, while slow dacing.",JOY
5550,A friend and I were going to have a study session together in which we quiz ourselves in biology material. Because I believed I didn't study enough. I feared I would fail.,FEAR
5551,I live with my sister now and sometimes she angers me especially when she thinks I don't keep the apt. clean enough.,ANGER
5552,When I found out that I could not go to the concert (after buying the tickets) because of a biology test which occurred the morning after.,SADNESS
5553,"Right now I volunteer at a hospital. Yesterday, Halloween, I dressed up as a doctor and went to work. The volunteer coordinator told me after my shift that it was dangerous to have done what I did.",DISGUST
5554,When I get an exam back with a grade that I did not desire. Then I get mad at myself and say that I could have done better.,SHAME
5555,After days or weekends where I did not accomplish the amount of sudying that I wanted to because of more pleasant activities which come up.,GUILT
5556,"Last year my freshman yr. It was a day in March I did well on some tests. I seemed to finally adjust to college, it was hot and sunny. I was walking in front of a frat. when I heard Beach Boys \Surfin'USA\"". I had this overwhelming feeling that to be at CAL áwas good. I still have it somewhat.""",JOY
5557,"During one year my mother almost had a nervous breakdown and my father had a serious operation. I was afraid that our family (4 kids, I'm the oldest) wouldn't hold together. Everything turned out fine.",FEAR
5558,"Last semester when I dated a girl whom I've known for almost a year. However one night she said she wanted us to be \just áfriends\"". I confided this to a friend Jim I was really suffering. á",ANGER
5559,When I was a Sr. in HS. one of the class counselors died of hepatitis. She was very sensitive. She knew my shyness and drew me out to improve myself image. I missed her funeral - so I could not publically grieve. My parents didn't understand.,SADNESS
5560,I applied for a job of GALSO counselor and I made the strongest possible application but was denied an interview. I felt disgusted at the system which by promoting the cause of minorities makes employing whites lowest priority.,DISGUST
5561,I was angry about 3 months ago and I kicked backwards against the wall. It caved in and so I had to show it to my parents. I had been angry after my mother said something to me about not being able to find clothes in my size - something that I'm sensitive about. (6' 5'' 210),SHAME
5562,When I lied last week. I lied to someone to get info. for a paper I was writing. I told her that the info. was for a newspaper article. I was afraid if I told the truth she wouldn't help me.,GUILT
5563,Someone (a boy) paid special attention to me.,JOY
5564,Getting back my Psych 140 midterm.,FEAR
5565,My roommate leaving my drawers in a mess after plowing thourgh them looking for something.,ANGER
5566,My friend who was in the Bago was kicked out of the sorority.,SADNESS
5567,A friend of mine had sex with someone of a different race on a Winnebago trip down to USC in front of everyone (all my friends embarrassed my sorority house name).,DISGUST
5568,When I lied to my best friend about a boy she really liked but he didn't like her. I told her he did and she bugged him for a long time embarrassing herself.,SHAME
5569,I'm allergic to most foods - eating something that I'm allergic to caused guilt.,GUILT
5570,My last genetices midterm - a decent grade.,JOY
5571,A certain night during initiation. ,FEAR
5572,When someone threw a firecracker into my room at 7:00 am in the morning.,ANGER
5573,A close friend of the family died.,SADNESS
5574,When other people refuse to do their house jobs and give the work to someone else.,DISGUST
5575,Not doing my share of the work for the house job.,SHAME
5576,Forgetting a close friend's birthday.,GUILT
5577,I received an unexpected B+ on an engineering midterm. I did not study nearly as much as I should have and it was a difficult test.,JOY
5578,I could not do the questions on my math midterm.,FEAR
5579,I was supposed to meet my girlfriend at a pre-arranged place but it took me an hour to find her.,ANGER
5580,"My grandmother died over the summer. I knew her very well, she baked great biscuits. She was in the hospital but expected to improve and go home soon. She died in her sleep.",SADNESS
5581,I saw part of a Prince video with him crawling out of a bath tub.,DISGUST
5582,My grand father caught me eating his private jelly bean supply.,SHAME
5583,I slammed my little brother into a wall because he was bothering me.,GUILT
5584,Finding out my grades at the end of my freshman year.,JOY
5585,When I was going to bring back my girlfriend to LA to meet my parents.,FEAR
5586,When I found out that my good friend and roommate did not pay the phone bill and electric bill like he promised and let me down.,ANGER
5587,"When I found out that my girlfriend would not be coming back to UCB for one semester, but would be living in San Jose.",SADNESS
5588,Finding out my grades at the end of my Sophomore year.,DISGUST
5589,When I found out my roommate had been talking behind my back about very personal things.,SHAME
5590,When I was about 17 years old and I stole some pens from a stationery store because I didn't have enough money.,GUILT
5591,Going to Chico to visit a friend.,JOY
5592,First day back on the job.,FEAR
5593,When the person I'm having the affair with won't talk to me in public.,ANGER
5594,My roommate's sister committed suicide.,SADNESS
5595,When I was getting so fat.,DISGUST
5596,Lying to my grandparents about visiting my boyfriend in Chico.,SHAME
5597,Having an affair with my good friend's best friend. And every time I see my best friend I feel guilt because we can't tell him.,GUILT
5598,When  fell in love with my present girlfriend.,JOY
5599,When there was a bomb threat in Tolman Hall. This was the first time that I felt my life could be in danger.,FEAR
5600,When people would tell me that my ex-girlfriend was playing around on me.,ANGER
5601,When my grandmother passed away.,SADNESS
5602,When I study my butt off for a midterm and still get an average grade.,DISGUST
5603,"When I was 10, I got busted for stealing a candy-bar.",SHAME
5604,When I copy someone else's problem set.,GUILT
5605,I got a very good grade on one of my midterms a few weeks ago.,JOY
5606,My mom called early in the morning (On a Monday) and I had just seen her that weekend. I couldn't understand what could be so important as to make her call at such a strange hour. I missed the call and had to call her back that afternoon.,FEAR
5607,"My peers didn't want me to meet someone during rush for fear that I would give her a bad outlook on our Sororoty house. I shouldn't have seen this, but they blew and I did.",ANGER
5608,I was told that a friend of a friend committed suicide.,SADNESS
5609,Doing poorly on a midterm.,DISGUST
5610,My boat didn't win a race which we were favored to win.,SHAME
5611,Sleeping through crew practice one Monday morning.,GUILT
5612,When I had achieved a goal indirectly. I work for CAL Football and our 2nd win of the season was very gratifying and brought our joy because of the hard work involved and the fact that no one expected we would win.,JOY
5613,Upon reading a story on a serial killer by the name of Henry Lee Lucas who has been given the distinction of killing more people that any other man. I began to wonder if I should take more care for my safety.,FEAR
5614,I had worked long and hard on a project when a friend inadvertantly destroyed it. I could not forgive him for a long time. And at times still get angry at him.,ANGER
5615,When a pet died. The pet was the closest friend I had for 15 years.,SADNESS
5616,When people/press analyze a particular newsworthy item (CAL Football team) which I am a member and can only see the situation in a bad light and always put the team down.,DISGUST
5617,"Recently, some friends and I had too much to drink while on a foot-ball road trip to USC. We trashed our hotel room and I felt ashamed when the maid walked in the next morning.",SHAME
5618,I felt guilty when I mislead a person into thinking he was a close friend when that person was more of a casual acquaintance.,GUILT
5619,Getting my accentance letter from CAL. ,JOY
5620,One summer when I was camping with friends they devised and elaborate plan to scare me by having our camp attecked by a wild animal (one of them) and then convincing the campground was the home of a satanic organization.,FEAR
5621,I went out dancing and found my boyfriend kissing another girl.,ANGER
5622,At the end of my senior yr. in high school I found out that a friend of mine I knew had cancer had been diagnosed as terminally ill.,SADNESS
5623,Sitting in the dorm when the guys were verbally reading letters in Penthouse.,DISGUST
5624,I slipped on butter one evening in the Dining Commons landed on my rear causing my tray also to land on the floor.,SHAME
5625,A person I was attracted to walked me home in the rain and got sick.,GUILT
5626,Today I did a lot better on my architecture project than I expected.,JOY
5627,When I was little I lost control of my bike and started to go into a buay intersection but my neighbor stopped me just in time.,FEAR
5628,"This summer I got into a fight with one of our patrons (at a theatre). He hit me and I hit him and her friend, he hit my friend and we all hit eachother.",ANGER
5629,This monday I took a Math 1BS test and flunked for the second time.,SADNESS
5630,When I found out the CIA was mining Nicaraguan harbors.,DISGUST
5631,A month ago I turned in an English paper in late after I had already had a previous paper late and promised not to do it again.,SHAME
5632,I forgot my mother's and sister's birthdays (they fall on the same day).,GUILT
5633,When I received a letter of acceptance to CAL.,JOY
5634,A time when I was very afraid of something was when I broke my father's antique lamp.,FEAR
5635,When someone told a secret I told them not to tell.,ANGER
5636,When my mother was very sick and almost died.,SADNESS
5637,When I saw President Reagan get elected.,DISGUST
5638,When I failed some tests my first year at CAL.,SHAME
5639,When I stole something.,GUILT
5640,I gave my mom a gift she wanted for years. I raflected her joy.,JOY
5641,Walking through campus at night a squirrel jumped in front of me.,FEAR
5642,After a long trip in my dad's van without incident I stopped to fill the tank with gas and dented the side of the van against the pole. Then my cars electrical system would not work when I tried to drive home from his house.,ANGER
5643,"At one point in a relationship, my boyfriend was seeing an old flame more than me. At our confrontation tears were shed.",SADNESS
5644,When a skunk invaded camp.,DISGUST
5645,I made an unkind remark about the ethnicity of some friends without realizing it.,SHAME
5646,I mangled the side of my dad's van on a fence. I did not realize the extent of the damage until he showed it to me the next day. The shock on my face was genuine so a friend interceded with a good excuse which I did not deny. I never clarified the situation.,GUILT
5647,When I finally got a job after days of wondering whether I would be hired or not and counting on the money that it would bring.,JOY
5648,When I had to walk home in the dark for the first time. ,FEAR
5649,"A time when, as part of my work, I was sent out actually sort of volunteered to run an errand for someone who had no authority to send me out and the address was very far especially on foot and turned out to be incorrect too. The whole trip was a waste.",ANGER
5650,When my boyfriend said he did not want to see me anymore (which turned out to be untrue).,SADNESS
5651,When my roommate forgets to flush the toilet.,DISGUST
5652,When I did poorly on a test and I knew that there wasn't an excuse for not doing better. Made mistakes I could not believe I made.,SHAME
5653,Remembering (at the time I did not feel guilt) in recent yrs. how angry I would get when I was babysitting my new brother and he would not stop crying. I did not do anything harmful or shocking. But I feel guilty for treating him the way I did especially since I adore him now. That's why I spoil him now.,GUILT
5654,Yesterday when I received a B on a history midterm. I felt overjoyed after having received C's previously.,JOY
5655,"When I began school at UC. The pre-enrollment the classes, and the question of success really scared me.",FEAR
5656,A month ago when one of my fellow workers got a promotion over me. It was just a small promotion but recognition was involved.,ANGER
5657,When another fellow worker decided to leave the company. We had been very close and we would not be able to work with eachother any longer.,SADNESS
5658,Through the media and their presentation of a kidnapped child who was raped.,DISGUST
5659,When I had not been accepted to a college which I dreamed of going to. I felt that I had let myself and my parents down.,SHAME
5660,I told my parents (or more realistically) would not do what they wanted me to do anymore. I guess I sort of betrayed them after all they had done for me.,GUILT
5661,When I drove partially across the country with my father. We stopped in a few towns and stayed overnight in motels. The joy I got was from the feedom I felt and the real beauty of the country.,JOY
5662,"One day before Christmas, I went shopping with my brother and his friend. We had a good time. But on the way home we were almost in an accident because the weather was bad.",FEAR
5663,I can't remember being truly angry. Usually it's just disappointment that I feel. One situation would be with my brother. He and I used to be close but now he seems to be avoiding me.,ANGER
5664,"4 years ago my family decided to move from New York to California. From the time we decided to move until the time we left, I realized how much my friends cared for me. When we left and for a long time after that I was very sad.",SADNESS
5665,Once when I was babysitting for some neighbors children I found roaches in ther bathroom. I had never seen a roach before but I called my mother to make sure that's what they were. And she came over and checked.,DISGUST
5666,The first time I slept at my boyfriends house and had to walk down the hall to the shower in front of his housemates. I felt they were judging me.,SHAME
5667,I was at school and afterwards went to work. After work I went to see a friend and stayed out late. when I got home my mother was awake and I felt guilty.,GUILT
5668,The last time I had sex.,JOY
5669,"after getting a fail notice for a math class, I realized I was not doing very well in school in any subject. I began to fear failing a class or two.",FEAR
5670,Physically fighting with my girlfriend because she just walked out of a room of my friends and had pushed and cursed at me when I went to find her.,ANGER
5671,Hearing about a friend back home that had to have his stomach pumped because he had overdosed on pills.,SADNESS
5672,After learning on the news about this man who killed more than 300 women and habitually copulated into their inert bodies.,DISGUST
5673,I had just masterbated with another boy.,SHAME
5674,Going out with another girl besides my girlfriend and not telling her.,GUILT
5675,Reading a letter from a close friend who said he missed me and cared for me.,JOY
5676,Going to CAL not knowing anyone.,FEAR
5677,When a close friend did not write.,ANGER
5678,Leaving high school.,SADNESS
5679,When my roommate came home at 10 in the morning after sleeping with a guy she did not know because she got drunk. (Se has a boyfriend too).,DISGUST
5680,Fooling around with this guy I did not know.,SHAME
5681,Not noticing my roommates quietness or a sign of discomfort.,GUILT
5682,I went home and visited with my family and friends.,JOY
5683,Taking a chemistry midterm.,FEAR
5684,While I was away for the weekend some friends went into my room and played my very expensive stereo without asking me or my roommate.,ANGER
5685,I asked a girl out on a date and she said no.,SADNESS
5686,I was playing a sport in an advanced PE class and many of the people were not advanced.,DISGUST
5687,I bought a possible answer to a homework problem which was completely inapplicable to the question due to my not having read about the subject matter.,SHAME
5688,Lately I've felt guilty because I'm folling behind in my classes and not studying much.,GUILT
5689,Returning to school and rejoining my girlfriend after 3 months of separation from summer.,JOY
5690,Waiting for my girlfriend to come from her apt. to mine. She was very late and I thought something awful had happened.,FEAR
5691,I bought a new bed for my apt. and it squeaks when you move on it. I tried to fix it but could not.,ANGER
5692,Finding out that my grandfather had died. He lived in England and I had not seen him for 10 years.,SADNESS
5693,Cleaning the bathroom of my apt. and realizing my roommate who had lived there all summer by himself had never cleaned the place.,DISGUST
5694,Doing poorly on an exam that I thought I should do well.,SHAME
5695,Criticizing my mother when she refused to drive with the radio on. I told her that I thought she wasn't intelligent enough to cope with the radio.,GUILT
5696,"My boyfriend and I were getting dressed up and putting make-up on to go to a Halloween Party. We were dressing up to be two mimes. It was very enjoyable and I thought we looked really good, it was an accomplishment. We were alone in his house.",JOY
5697,I needed a recommendation for something. I decided that the best person to get one from was a professor who I had never talked to before. I felt a lot of fear going up after class to ask him to recommend me considering he had never heard my name before. But I did.,FEAR
5698,"I had been searching for housing for Fall at UCB and I was finally offered a place - then an ordeal followed, first I accepted then refused - related to my parents judgment (they're paying for me). Turns out that I was so upset at what my Dad said to me that I hung up on him. He called back and threatened to cut me off financially and emotionally.",ANGER
5699,We got news that my (almost) 21 years old brother died while visiting Europe of a cerebral hemorhage. It finally hit me an hour after we saw his corpse in the coffin. It felt like a door between himself and everything had closed and locked forever.,SADNESS
5700,I was reading in the paper the feature on Henry Lucas who claims to have killed 380 people. He was a recreational killer and a necrophiliac and zoophiliac. He has raped and beaten many women and killed men too.,DISGUST
5701,The people on my floor last year were very close. This year 4 of our best friends live together in an apartment. My boyfriend and I dropped by on one of their birthdays and stayed for dinner. Two other people had already been invited and I felt uncomfortable and unwanted. Then I realized I was the one who always called them and they rarely call me.,SHAME
5702,I was talking to my mom on the phone and she told me that she had just gotten an award that day in front of all these people and she asked me if I wanted her to send me the article in the temple newsletter to me. I said no very quickly and felt guilty for not being more interested and hurting her feelings.,GUILT
5703,When I found our my mother didn't have cancer.,JOY
5704,I was alone and someone tried to break in from our back door.,FEAR
5705,When some friends betrayed my friendship.,ANGER
5706,When I did bad on a chamistry midterm which I could have done well.,SADNESS
5707,"When an employer of my younger sister (17 yrs) made a \pass\"" at áher.""",DISGUST
5708,Defying my parents and staying out all night when I wasn't supposed to.,SHAME
5709,Yelled at my parents for not buying me a car like other parents.,GUILT
5710,"Riding home from school after completing two midterms in two days, and feeling I did well on them.",JOY
5711,Occured while preparing for a midterm in Social Welfare that I thought was going to be very hard and felt unprepared for.,FEAR
5712,Argument with roommate over a lock he had put on kitchen cupboard without telling anyone.,ANGER
5713,Day time robbery of our house.,SADNESS
5714,Robbery mentioned under sadness.,DISGUST
5715,Caught lying to my father about a speeding ticket I had received.,SHAME
5716,Getting a friend an open container ticket because I got caught speeding.,GUILT
5717,When I found out I got accepted to Berkeley.,JOY
5718,"Before I moved away from home, I feared leaving.",FEAR
5719,"When a friend carelessly broke and object in my parent's house and did not apologize, or pay, or anything.",ANGER
5720,I felt sadness when my grandfather died.,SADNESS
5721,"This person I know lied about how much income his parents made and received money through grants which he did not need. Another person is barely making it, did not lie, and did not receive enough money.",DISGUST
5722,After a big fight with my parents.,SHAME
5723,I forgot about a close relatives's birthday.,GUILT
5724,"On my birthday, my closest friends were here at Berkeley pithched in a lot of money each and bought me ten records to replace some of my records that were stolen. They threw a small surprise party for me too.",JOY
5725,"While skiing in Squaw Valley, I was riding up a chair lift and right when the chair was above a sheer cliff of rocks, the chair lift stopped and all the chairs sagged and everything seemed to creak loudly.",FEAR
5726,I received a poor grade on a midterm even though I got all the right answers and knew the material. I went to the TA to try to raise my grade and he wouldn't do it.,ANGER
5727,My girlfriend wanted to breakup for an indefinite amt. of time. She said that she couldn't commit herself fully to the relationship without going out with other people. I was her first boyfriend.,SADNESS
5728,"I read in the newspaper about a 21 yr. old woman who was found naked and dead along a roadside. It turned out she had had two relatives 14 and 19 who were kidnapped, raped and killed earlier.",DISGUST
5729,I went to bed with a girl and the next day she thought it was the start of something serious and I just thought it was fun and I told her I wasn't interested in starting a serious relationship.,SHAME
5730,I dreamed that this girl and I were cuddling in bed when my girlfriend walked in. I really love my girlfriend so I felt guilty and sad. I know that this is a wierd example but the dream and the feeling was clear to me as if it had really happened.,GUILT
5731,"Being involved in a car accident and having my thumb caught in the glove compartment. My sister and I had a Fear of finally telling my parents, since my sister was the driver.",FEAR
5732,"A co-worker and I had to rush a project. I was only working there for one month and he for some years. Instead of letting me know that he wanted to do the project himself, he went to the superviser and let the superviser tell me to let the co-worker do it himself since he was quicker at it.",ANGER
5733,Losing a pet chick. Our family had just put the chick outside a few days before and then one morning it was gone.,SADNESS
5734,NO RESPONSE,DISGUST
5735,NO RESPONSE,SHAME
5736,Having told a certain lie.,GUILT
5737,"I experienced joy at a friend's 22nd birthday party. We had good food, good liquid, good company, good music, and an overall warm atmosphere. The birthday girl and I communicate incredibly well. I felt very content, warm and inspired just talking with her giving her a neck massage.",JOY
5738,Two summers ago my best friend and I drove into unknown mountains at midnight to pick up my broken car. We told one another horrifically scary ghost/murder stories and succeeded in scaring eachother pretty well - even though somewhere in our heads we knew the fears were unjustified.,FEAR
5739,I had just seen my pseudo-girlfriend and our conversation angered me greatly.,ANGER
5740,My grandfather died thirteen years ago.,SADNESS
5741,"When one individual takes advantage of and/or injures another relatively defenseless individual, consciously. I feel disgust mingled with anger. A person on my dorm floor verbally assaulted another person for having a certain religious belief.",DISGUST
5742,I borrowed $ 20.00 from a friend and paid him back much later than I had originally intended.,SHAME
5743,I angered a close friend and he was injured.,GUILT
5744,My parents and brother came up over the weekend. We are a very close family. This was my first year away from home. They brought one jacko-lantern with a new design. That is the old joke that we have a great new design - it's always the same.,JOY
5745,"I was to meet one of my friends (girl) at the library at 8:00 already dark. She would be walking alone. She was 45 minutes late but I kept waiting, calling her room and other places she could have been.",FEAR
5746,While studying chemistry with a friend we became angry with eachother because we were both fed up.,ANGER
5747,I received a letter from my grandmother. She has obviusly suffered a lot from my grandfather's suffering health. She mentioned things she had gotten him and he would never use.,SADNESS
5748,One of my good friends told people something I had told her in confidence about someone else.,DISGUST
5749,I wanted my boyfriend to stay when he didn't. He stayed but when he left I felt ashamed because I should have let him leave when he wanted. I was too selfish.,SHAME
5750,"At a party, I started talking to a guy I had seen in one of my classes. My boyfriend felt awkward and left to talk to a friend but kept on looking at me as I talked.",GUILT
5751,"Football was a very big deal at my high school, so I was joyous when my school's team won the conference championship last year.",JOY
5752,I was driving on to a busy freeway during rush hour and it was slightly raining. A diesel truck was coming very close behind me and I was close behind a pick-up. I changed lanes and barely hit the truck and ran a Honda of the road. I was scared to death to go back and see if I caused him to crash.,FEAR
5753,I was really pissed when the Russians boycotted the '84 Olympics. I had anger towards them and Jimmy Crter. I was very anxious to see it.,ANGER
5754,It made me very sad to hear that some construction company was going to build houses on the beautiful hills by my house.,SADNESS
5755,I vividly remember having feelings of disgust toward some of my jr. high classmates who didn't work at all on their schoolwork and who would coplain and take my tax money when I was older and more successful than they were. At the time I pictured some adults like this that I knew in the complaining situation.,DISGUST
5756,I could have died when I was caught cheating on a test in high school. That was my first and last time.,SHAME
5757,When I didn't study for tests in High School. In particular  remember a physics test. I didn't study because my friends talked me out of it and we did something else boring. I felt so helpless just being there - then guilt set in because I was very close to getting an A in the class.,GUILT
5758,I took a math midterm and I knew I did really well and it was Friday so I felt great joy because the week was over and I did well on a test.,JOY
5759,"When  first came to CAL I went to a rally on Sproul and I later learned that the rally was conducted by the Moonie cult. They were taking pictures at the rally, so I was afraid that they would circulate the pictures and then kidnap people. I did not know how the cult worked. I was scared.",FEAR
5760,When I was faced with writing an essay and I didn't want to do it I was angry that I had to write an essay and angry at myself for not having the time to write a good essay.,ANGER
5761,I ran a race for the CAL track team and I did terribly and then the coach said that I should sit out for the season. I felt really sad because I wasn't going to be able to run. It was something I always had done and now I couldn't do it anymore.,SADNESS
5762,When I saw a girl in my economics discussion section smiling and asking stupid questions to the TA. just to get attention. She was obviously ass-kissing. It happens in every Econ. discussion held weekly.,DISGUST
5763,"I was supposed to go out with my girlfriend one Saturday night, but I got really drunk with some friends earlier that afternoon and evening. So, I totally forgot about going out with my girlfriend. She showed up the next day, and that was when I remembered.",SHAME
5764,"I went to go get a bike innertube fixed. I fixed it and I was supposed to pay previously but I didn't. I said I would after I fixed the tire. After fixing the tire, the salesperson who helped me was gone so I walked out of the store without paying. I felt guilty so I went inside and paid for the tire.",GUILT
5765,I had met someone and we became good friends. Our relationship grew closer and now he is my boyfriend. I felt joy when I found out how he felt about me.,JOY
5766,I feared that my dog's eye was infected too much. He had played around in the weeds and a foxtail had gotten under his eyelid. I took him to the vet and I feared that he may go blind because of the foxtail.,FEAR
5767,"One of my friends kept criticizing me about everything I did. I thought she was kidding, but later I found out that she was serious.",ANGER
5768,One of my relatives became seriously ill. I felt sad because I didn't know if she will ever be the same again.,SADNESS
5769,I felt disgusted when I found out that someone had betrayed me. That person had been dishonest with me and I felt used.,DISGUST
5770,"After taking a difficult midterm for one of my classes, I felt shame for not studying as much as I should have. I was ashamed of the results of the midterm.",SHAME
5771,"A close friend of mine was leaving for graduate school out of state. I had arranged to gather some people together the day before he left to be with him and have a good time, but I didn't pay as much attention to him as I should have.",GUILT
5772,I spoke with a friend on the phone who I haven't seen in many years. It was a joyful event to talk to him.,JOY
5773,I was on this amusement park ride at Marriots Great America. It went way up in the air and then around and around. Heights are not my favorite spots in life.,FEAR
5774,"I typed up a letter for this physician at work. She didn't care for my style, even though she was not using correct English. I told her it was her letter and we would do it her way.",ANGER
5775,"Recently, my sister-in-law's horse was poisoned by a plant and died. The horse was very obedient and exceptional with children.",SADNESS
5776,"I was disgusted at the behavior of these boys I work with in the scouting program. They showed a lack of interest, unrest, and at times just plain rude behavior.",DISGUST
5777,I had a test in the class and I had not adequately prepared myself. I didn't fare so well on the exam and I felt bad about it.,SHAME
5778,"I was supposed to have done some things for my mother, but just plain didn't get around to it.",GUILT
5779,My old boyfriend - yes the same one - asked me out. We had a good time. Then he asked me out the following week. He actually took interest.,JOY
5780,"I was physically assaulted and sexually abused about a year ago. Just the feeling that I might not get away intact, or even alive, produced fear.",FEAR
5781,My boyfriend breaking up with me about 7 months after I had an abortion. Just the fact that he was ignoring me and continued to do so.,ANGER
5782,"My nephew's mother just left one day (my brother and she were not married). My nephew, Anthony, was shaken. I was sad for him because a similar situation happened to me.",SADNESS
5783,My friends and I were sitting at a restaurant. We were talking and a few of them said awful things about women. I became disgusted by their narrow-mindedness.,DISGUST
5784,"I tried after months to begin talking to my boyfriend again. He ignored me. I felt I had lowered my pride and became his \doormat\"".""",SHAME
5785,I had found out that I was pregnant. I talked it over with my boyfriend and he was unsupportive - yet encouraged an abortion - I did.,GUILT
5786,When I got accepted to CAL.,JOY
5787,My apartment has had three robberies in the last month. The guy upstairs just got robbed making it the fourth.,FEAR
5788,"When my roommate's boyfriend assaulted me. He was threatening me, calling me names and pushing me around.",ANGER
5789,I was going to go on a vacation to Texas this summer but was unable to go because of registration.,SADNESS
5790,I didn't do very well on a midterm and I'm disgusted with myself because I was prepared and thought I did well.,DISGUST
5791,When I dated my friend's boyfriend after they had broken up.,SHAME
5792,"A friend was going to come stay the weekend with me, but something came up and I cancelled out on him.",GUILT
5793,"After being depressed because of a very bad relationship, my first love called me and told me that he would always care for me no matter what I did.",JOY
5794,"When my exboyfriend threw me around the dorms because I was talking on the phone to another guy of whom he was jealous, after we had an argument in which I thought we broke up.",FEAR
5795,"When someone tried to rape one of my best friends and he claimed it was her fault. He the hassled her, claimed she was loose, and threatened to sue her.",ANGER
5796,"My mother kicked my surrogate father out and he in turn did not care for the dog, Afthur, he bought for the family. His lack of concern lead tho Arthur's death on the freeway. I loved Arthur like a brother. He was easy to talk to.",SADNESS
5797,I thought that the guy I had been associating with for over a year went out 2 or 3 times with a high school girl whom he claimed not to like.,DISGUST
5798,The fact that I was pregnant. I was always considered level headed and did not have sex until 18 and out of high school.,SHAME
5799,I was pregnant and thought that by not having the baby I would hurt the father like he did me regardless of the life we had created.,GUILT
5800,I spent a lovely relaxing evening with my boyfriend. We played games and talked all evening.,JOY
5801,"When I walked to church with my roommate, a bum told us to call the police and he started following us.",FEAR
5802,When my roommate's moped was stolen I was very angry.,ANGER
5803,When I heard my grandfather's wife had leukemia I was very sad.,SADNESS
5804,I was disgusted to find out that the water isn't filtered or purified before it leaves Latimer Hall from the drains.,DISGUST
5805,The same for guilt would apply.,SHAME
5806,I added a little   ?   to a yield in an experiment to get more of a yield.,GUILT
5807,Third highest grade in the class and the best answer given for one question (the question was graded by the professor and he indicated he liked my answer).,JOY
5808,"In the recent lightning storm, bolts of lightning were hitting close by (1/8 mile). I was in bed at the time and was afraid I might be struck.",FEAR
5809,We are repainting rooms in my house. My mother started to enact plans to paint my room without consulting me.,ANGER
5810,Recent break-up with my girlfriend. We had been together for over a year. I was overseas and discovered over the phone (while I was at work).,SADNESS
5811,I attended a ceremony in Denmark which is comparable to our Halloween. They build a large bonfire and place a life size dummy of a witch. The crowd cheered when the dummy burst into flames.,DISGUST
5812,I came home from school very keyed up. At the dinner table I unfortunately unloaded a lot of my hostility off on one of my parents. I'm ashamed that I didn't dispate and control these feelings before coming to the table or even let the energy build up in the first place.,SHAME
5813,Eating the last remains of dinner that someone else (unknown to me) had claimed.,GUILT
5814,"After watching the 49ers lose game after game, year after year, I was finally rewarded with a Super Bowl victory which made me extremely happy.",JOY
5815,"While swimming, I hit my head at the bottom of the pool and required stitches. I later learned that the consequences could have been much more severe and that terrified me.",FEAR
5816,"I was rushing home from school because there was a 49er game that night. I got into a non-injury accident, which was all my fault, but destroyed the front of my car. The truck I hit was undamaged.",ANGER
5817,When I learned that my dad had cancer. I knew he was going to the hospital for some tests. My mom told me when she picked me up one weekend from CAL to take me home.,SADNESS
5818,"Now that the 49ers are winners, the fans are coming out of the woodwork and jumping on the bandwagon and that disgusts me.",DISGUST
5819,"When I was small, I would always fight with my younger sister and one time I hit her and knocked the wind out of her. I felt real bad about it.",SHAME
5820,When my grandfather was in a nursing home when I was young I never wanted to go and sometimes didn't have to and later I felt guilty.,GUILT
5821,I felt joy when my boyfriend proposed to me in marriage.,JOY
5822,I felt fear when I was young and left in my big house all alone.,FEAR
5823,"After I said something that my boyfriend disagreed with, he walked away from me without discussing what bothered him. I became very angry with him for treating me this way. Yesterday, November 14.",ANGER
